benchmark,artifact,metric,value
brotli-compress,default_licm,cycles:u,2814255639.0
brotli-compress,default_licm,cycles:u,2817220792.0
brotli-compress,default_licm,cycles:u,2820147903.0
brotli-compress,default_licm,cycles:u,2815241816.0
brotli-compress,default_licm,cycles:u,2815243564.0
brotli-compress,ownsem_licm,cycles:u,2802867504.0
brotli-compress,ownsem_licm,cycles:u,2809260469.0
brotli-compress,ownsem_licm,cycles:u,2803246058.0
brotli-compress,ownsem_licm,cycles:u,2799473919.0
brotli-compress,ownsem_licm,cycles:u,2806317529.0
brotli-decompress,default_licm,cycles:u,1285366902.0
brotli-decompress,default_licm,cycles:u,1285286316.0
brotli-decompress,default_licm,cycles:u,1285589638.0
brotli-decompress,default_licm,cycles:u,1285294310.0
brotli-decompress,default_licm,cycles:u,1285459567.0
brotli-decompress,ownsem_licm,cycles:u,1285802320.0
brotli-decompress,ownsem_licm,cycles:u,1285810328.0
brotli-decompress,ownsem_licm,cycles:u,1285637701.0
brotli-decompress,ownsem_licm,cycles:u,1285943817.0
brotli-decompress,ownsem_licm,cycles:u,1285554349.0
bufreader_snappy,default_licm,cycles:u,221667841.0
bufreader_snappy,default_licm,cycles:u,221656286.0
bufreader_snappy,default_licm,cycles:u,222290812.0
bufreader_snappy,default_licm,cycles:u,221799356.0
bufreader_snappy,default_licm,cycles:u,221977157.0
bufreader_snappy,ownsem_licm,cycles:u,221938783.0
bufreader_snappy,ownsem_licm,cycles:u,221619371.0
bufreader_snappy,ownsem_licm,cycles:u,221624363.0
bufreader_snappy,ownsem_licm,cycles:u,222541436.0
bufreader_snappy,ownsem_licm,cycles:u,221759252.0
css-parse-fb,default_licm,cycles:u,1358176502.0
css-parse-fb,default_licm,cycles:u,1353744811.0
css-parse-fb,default_licm,cycles:u,1354228403.0
css-parse-fb,default_licm,cycles:u,1354430282.0
css-parse-fb,default_licm,cycles:u,1354945337.0
css-parse-fb,ownsem_licm,cycles:u,1374644257.0
css-parse-fb,ownsem_licm,cycles:u,1375074883.0
css-parse-fb,ownsem_licm,cycles:u,1376258653.0
css-parse-fb,ownsem_licm,cycles:u,1374817359.0
css-parse-fb,ownsem_licm,cycles:u,1374036575.0
fmt-debug-derive,default_licm,cycles:u,716913057.0
fmt-debug-derive,default_licm,cycles:u,716681755.0
fmt-debug-derive,default_licm,cycles:u,717482435.0
fmt-debug-derive,default_licm,cycles:u,716261992.0
fmt-debug-derive,default_licm,cycles:u,716841778.0
fmt-debug-derive,ownsem_licm,cycles:u,715022752.0
fmt-debug-derive,ownsem_licm,cycles:u,715225555.0
fmt-debug-derive,ownsem_licm,cycles:u,715333677.0
fmt-debug-derive,ownsem_licm,cycles:u,715241913.0
fmt-debug-derive,ownsem_licm,cycles:u,715138665.0
fmt-write-str,default_licm,cycles:u,1246272076.0
fmt-write-str,default_licm,cycles:u,1245336644.0
fmt-write-str,default_licm,cycles:u,1246046293.0
fmt-write-str,default_licm,cycles:u,1245667322.0
fmt-write-str,default_licm,cycles:u,1246129507.0
fmt-write-str,ownsem_licm,cycles:u,1246593744.0
fmt-write-str,ownsem_licm,cycles:u,1245783611.0
fmt-write-str,ownsem_licm,cycles:u,1246588768.0
fmt-write-str,ownsem_licm,cycles:u,1246141578.0
fmt-write-str,ownsem_licm,cycles:u,1246006507.0
hashmap_find_1m,default_licm,cycles:u,183806347.0
hashmap_find_1m,default_licm,cycles:u,184328117.0
hashmap_find_1m,default_licm,cycles:u,184480866.0
hashmap_find_1m,default_licm,cycles:u,184432775.0
hashmap_find_1m,default_licm,cycles:u,184474127.0
hashmap_find_1m,ownsem_licm,cycles:u,181015294.0
hashmap_find_1m,ownsem_licm,cycles:u,181017049.0
hashmap_find_1m,ownsem_licm,cycles:u,180783465.0
hashmap_find_1m,ownsem_licm,cycles:u,181309266.0
hashmap_find_1m,ownsem_licm,cycles:u,181126888.0
hashmap_find_misses_1m,default_licm,cycles:u,39750014.0
hashmap_find_misses_1m,default_licm,cycles:u,39665415.0
hashmap_find_misses_1m,default_licm,cycles:u,39656542.0
hashmap_find_misses_1m,default_licm,cycles:u,39642390.0
hashmap_find_misses_1m,default_licm,cycles:u,39660204.0
hashmap_find_misses_1m,ownsem_licm,cycles:u,39644907.0
hashmap_find_misses_1m,ownsem_licm,cycles:u,39660326.0
hashmap_find_misses_1m,ownsem_licm,cycles:u,39613394.0
hashmap_find_misses_1m,ownsem_licm,cycles:u,39403958.0
hashmap_find_misses_1m,ownsem_licm,cycles:u,39365589.0
